Field Name,Field ID,Crop,CO2 Total,CO2 Pest,N Fert,Fuel
1_#3,1_#3_2004,Winter wheat,1970.119921,0,1072.844889,63.11970169
1_#3,1_#3_2005,Other,1770.811256,0,961.342049,63.11970169
1_#3,1_#3_2006,Winter wheat,1579.378037,0,857.714654,63.11970169
1_#3,1_#3_2007,Winter wheat,1349.929683,0,738.0235799,63.11970169
1_#3,1_#3_2008,Barley,1504.824654,0,818.2836003,63.11970169
1_#3,1_#3_2009,Other,1774.693849,0,988.4456642,17.94722298
1_#3,1_#3_2010,Winter wheat,1449.621398,0,789.4220921,63.11970169
1_#3,1_#3_2011,Barley,1674.16316,0,908.5968645,63.11970169
1_#3,1_#3_2012,Other,1904.637096,0,1061.315126,17.94722298
1_#3,1_#3_2013,Winter wheat,1990.518012,0,1084.462398,63.11970169
1_#3,1_#3_2014,Winter wheat,2178.211651,0,1193.130796,63.11970169
1_24.acre,1_24.acre_2011,Winter wheat,1916.258855,0,933.9688543,16.42593458
1_24.acre,1_24.acre_2012,Winter wheat,1916.258855,0,933.9688543,16.42593458
1_24.acre,1_24.acre_2013,Barley,993.0589007,0,493.7009332,16.42593458
1_24.acre,1_24.acre_2014,Winter wheat,2008.372656,0,982.179743,16.42593458
1_angels.piece,1_angels.piece_2010,Other,1757.237137,0,860.1637781,1.453952242
1_angels.piece,1_angels.piece_2011,Winter wheat,1810.792438,0,887.3773319,1.453952242
1_angels.piece,1_angels.piece_2012,Winter wheat,1810.792438,0,887.3773319,1.453952242
1_angels.piece,1_angels.piece_2013,Dry Bean,162.0161095,0,160.5621573,1.453952242
1_back.of.hovels,1_back.of.hovels_2004,Winter wheat,1510.748104,0,673.5930286,2.9997458
1_back.of.hovels,1_back.of.hovels_2005,Other,1672.387066,0,747.3929681,3.032944376
1_back.of.hovels,1_back.of.hovels_2006,Winter wheat,1530.474753,0,673.5930286,22.72639429
1_back.of.hovels,1_back.of.hovels_2007,Other,1672.387066,0,747.3929681,3.032944376
1_back.of.hovels,1_back.of.hovels_2008,Winter wheat,1524.174293,0,673.5930286,16.42593458
1_back.of.hovels,1_back.of.hovels_2009,Other,1796.126478,0,805.278012,3.032944376
1_back.of.hovels,1_back.of.hovels_2010,Winter wheat,1524.174293,0,673.5930286,16.42593458
1_back.of.hovels,1_back.of.hovels_2011,Other,1672.387066,0,747.3929681,3.032944376
1_back.of.hovels,1_back.of.hovels_2012,Winter wheat,1524.174293,0,673.5930286,16.42593458
1_back.of.hovels,1_back.of.hovels_2013,Other,1837.891954,0,825.0920312,3.032944376
1_back.of.hovels,1_back.of.hovels_2014,Winter wheat,1636.397208,0,710.0317968,48.30716945
1_barn.ground,1_barn.ground_2004,Winter wheat,2008.372656,0,982.179743,16.42593458
1_barn.ground,1_barn.ground_2005,Other,1837.234983,0,887.3773319,27.89649701
1_barn.ground,1_barn.ground_2006,Winter wheat,2149.779539,0,1057.732258,16.42593458
1_barn.ground,1_barn.ground_2007,Other,1071.407325,0,528.1464458,16.42593458
1_barn.ground,1_barn.ground_2008,Winter wheat,2246.34993,0,1110.399737,16.42593458
1_barn.ground,1_barn.ground_2009,Other,1748.273992,0,842.3192536,27.89649701
1_barn.ground,1_barn.ground_2010,Winter wheat,2149.779539,0,1057.732258,16.42593458
1_barn.ground,1_barn.ground_2011,Other,1071.407325,0,528.1464458,16.42593458
1_barn.ground,1_barn.ground_2012,Winter wheat,2252.650389,0,1110.399737,22.72639429
1_barn.ground,1_barn.ground_2013,Other,1837.234983,0,887.3773319,27.89649701
1_barn.ground,1_barn.ground_2014,Winter wheat,2204.126849,0,1083.827652,22.72639429
1_bridge_leggott,1_bridge_leggott_2004,Other root crops,626.9112714,0,392.5702126,63.11970169
1_bridge_leggott,1_bridge_leggott_2005,Winter wheat,1810.015325,0,982.9849533,63.11970169
1_bridge_leggott,1_bridge_leggott_2006,Winter wheat,1800.184426,0,977.5443454,63.11970169
1_bridge_leggott,1_bridge_leggott_2007,Grass-clover mix,78.8950835,0,77.44113125,1.453952242
1_bridge_leggott,1_bridge_leggott_2008,Winter wheat,1467.956164,0,798.9762754,63.11970169
1_bridge_leggott,1_bridge_leggott_2009,Other legume,318.963179,0,255.8434773,63.11970169
1_bridge_leggott,1_bridge_leggott_2010,Winter wheat,1269.754104,0,697.3606217,63.11970169
1_bridge_leggott,1_bridge_leggott_2011,Winter wheat,1800.184426,0,977.5443454,63.11970169
1_bridge_leggott,1_bridge_leggott_2012,Other root crops,626.9112714,0,392.5702126,63.11970169
1_bridge_leggott,1_bridge_leggott_2013,Winter wheat,1849.541054,0,1004.949517,63.11970169
1_bridge_leggott,1_bridge_leggott_2014,Winter wheat,2178.211651,0,1193.130796,63.11970169
1_capps,1_capps_2010,Winter wheat,1718.267679,0,825.3829391,63.11970169
1_capps,1_capps_2011,Winter wheat,1325.479151,0,634.5478065,63.11970169
1_capps,1_capps_2012,Barley,1292.486762,0,619.1165822,63.11970169
1_capps,1_capps_2013,Other,848.8063781,0,446.0911831,3.198694932
1_capps,1_capps_2014,Winter wheat,1442.332904,0,689.9374824,63.11970169
1_chivers.top.left,1_chivers.top.left_2005,Other root crops,1081.982237,0,522.7596284,63.11970169
1_chivers.top.left,1_chivers.top.left_2006,Winter wheat,1121.956367,0,540.7823026,63.11970169
1_chivers.top.left,1_chivers.top.left_2007,Other,1684.904574,0,838.7699675,3.198694932
1_chivers.top.left,1_chivers.top.left_2008,Winter wheat,1834.276934,0,884.3184084,63.11970169
1_chivers.top.left,1_chivers.top.left_2009,Winter wheat,1834.276934,0,884.3184084,63.11970169
1_chivers.top.left,1_chivers.top.left_2010,Other,1840.682015,0,907.6440519,24.2476827
1_chivers.top.left,1_chivers.top.left_2011,Winter wheat,1552.874538,0,743.4053308,63.11970169
1_chivers.top.left,1_chivers.top.left_2012,Winter wheat,1656.60193,0,825.3829391,1.453952242
1_chivers.top.left,1_chivers.top.left_2013,Other,1789.104456,0,884.3184084,17.94722298
1_corner13acre,1_corner13acre_2006,Winter wheat,1882.658972,0,1160.995589,63.11970169
1_corner13acre,1_corner13acre_2007,Other,1994.46977,0,1228.903475,63.11970169
1_corner13acre,1_corner13acre_2008,Winter wheat,1994.46977,0,1228.903475,63.11970169
1_corner13acre,1_corner13acre_2009,Other,1938.22158,0,1194.606741,63.11970169
1_corner13acre,1_corner13acre_2010,Winter wheat,1994.46977,0,1228.903475,63.11970169
1_corner13acre,1_corner13acre_2011,Dry Bean,404.3816617,0,386.4344387,17.94722298
1_corner13acre,1_corner13acre_2012,Winter wheat,2048.160492,0,1299.630058,2.180928363
1_corner13acre,1_corner13acre_2013,Other,2165.766752,0,1373.333406,2.180928363
1_corner13acre,1_corner13acre_2014,Winter wheat,2286.516712,0,1450.180454,2.180928363
1_eds,1_eds_2010,Winter wheat,2284.173655,0,1434.551225,24.2476827
1_eds,1_eds_2011,Winter wheat,2284.173655,0,1434.551225,24.2476827
1_eds,1_eds_2012,Other,2432.65342,0,1530.347496,24.2476827
1_eds,1_eds_2013,Barley,1619.857291,0,996.575185,78.88599631
1_eds,1_eds_2014,Winter wheat,2370.192046,0,1489.837577,24.2476827
1_fence.field,1_fence.field_2004,Grass-clover mix,33.49539044,0,32.0414382,1.453952242
1_fence.field,1_fence.field_2005,Grass-clover mix,33.49539044,0,32.0414382,1.453952242
1_fence.field,1_fence.field_2006,Grass-clover mix,33.49539044,0,32.0414382,1.453952242
1_fence.field,1_fence.field_2007,Grass-clover mix,33.49539044,0,32.0414382,1.453952242
1_fence.field,1_fence.field_2008,Grass-clover mix,33.49539044,0,32.0414382,1.453952242
1_fence.field,1_fence.field_2009,Winter wheat,1636.397208,0,710.0317968,48.30716945
1_fence.field,1_fence.field_2010,Winter wheat,1535.644855,0,673.5930286,27.89649701
1_fence.field,1_fence.field_2011,Winter wheat,1535.644855,0,673.5930286,27.89649701
1_fence.field,1_fence.field_2012,Winter wheat,1697.250619,0,747.3929681,27.89649701
1_fence.field,1_fence.field_2013,Winter wheat,1575.703515,0,691.7002319,27.89649701
1_fence.field,1_fence.field_2014,Winter wheat,1697.250619,0,747.3929681,27.89649701
1_field3,1_field3_2010,Dry Bean,1816.77354,0,871.3061804,27.89649701
1_field3,1_field3_2011,Winter wheat,1900.415054,0,919.8253644,27.89649701
1_field3,1_field3_2012,Winter wheat,1927.729417,0,933.9688543,27.89649701
1_field3,1_field3_2013,Other,1818.382797,0,878.2457084,26.95651689
1_field3,1_field3_2014,Winter wheat,1855.208512,0,896.5702786,27.89649701
1_front.field,1_front.field_2004,Other,1969.74437,0,1077.740316,22.72639429
1_front.field,1_front.field_2005,Winter wheat,1599.484132,0,874.3111439,22.72639429
1_front.field,1_front.field_2006,Dry Bean,264.1463271,0,241.4199328,22.72639429
1_front.field,1_front.field_2007,Winter wheat,1790.834604,0,977.8557925,22.72639429
1_front.field,1_front.field_2008,Winter wheat,1990.044003,0,1089.259367,22.72639429
1_front.field,1_front.field_2009,Winter wheat,1889.402625,0,1032.520901,22.72639429
1_front.field,1_front.field_2010,Winter wheat,1694.229854,0,925.1539541,22.72639429
1_front.field,1_front.field_2011,Winter wheat,1790.834604,0,977.8557925,22.72639429
1_front.field,1_front.field_2012,Winter wheat,2092.874998,0,1148.18745,22.72639429
1_front.field,1_front.field_2013,Other,1889.402625,0,1032.520901,22.72639429
1_front.field,1_front.field_2014,Winter wheat,1990.044003,0,1089.259367,22.72639429
1_garden,1_garden_2004,Winter wheat,1983.743543,0,1089.259367,16.42593458
1_garden,1_garden_2005,Dry Bean,289.7271022,0,241.4199328,48.30716945
1_garden,1_garden_2006,Winter wheat,1784.534145,0,977.8557925,16.42593458
1_glebe.30,1_glebe.30_2004,Winter wheat,1885.977309,0,871.8060735,48.30716945
1_glebe.30,1_glebe.30_2005,Other root crops,1066.075811,0,490.9336968,48.30716945
1_glebe.30,1_glebe.30_2006,Winter wheat,1885.977309,0,871.8060735,48.30716945
1_glebe.30,1_glebe.30_2007,Winter wheat,1885.977309,0,871.8060735,48.30716945
1_glebe.30,1_glebe.30_2008,Other root crops,1066.075811,0,490.9336968,48.30716945
1_glebe.30,1_glebe.30_2009,Barley,1545.45333,0,706.893743,48.30716945
1_glebe.30,1_glebe.30_2010,Winter wheat,1885.977309,0,871.8060735,48.30716945
1_glebe.30,1_glebe.30_2011,Other root crops,1066.075811,0,490.9336968,48.30716945
1_glebe.30,1_glebe.30_2012,Barley,1500.145906,0,706.893743,2.9997458
1_glebe.30,1_glebe.30_2013,Other,1603.229139,0,746.3474151,22.72639429
1_glebe.30,1_glebe.30_2014,Winter wheat,1860.396534,0,871.8060735,22.72639429
1_gym,1_gym_2006,Barley,1255.859627,0,552.6380951,22.72639429
1_gym,1_gym_2007,Other,1427.329443,0,627.5215047,22.72639429
1_gym,1_gym_2008,Winter wheat,1538.468827,0,677.1968122,22.72639429
1_gym,1_gym_2009,Grass-clover mix,33.49539044,0,32.0414382,1.453952242
1_gym,1_gym_2010,Winter wheat,1586.619354,0,699.0055913,22.72639429
1_gym,1_gym_2011,Other,1411.58545,0,620.5580943,22.72639429
1_gym,1_gym_2012,Winter wheat,2184.436191,0,985.1117531,22.72639429
1_gym,1_gym_2013,Dry Bean,105.2528386,0,102.2198943,3.032944376
1_gym,1_gym_2014,Winter wheat,2140.409228,0,963.0362463,22.72639429
1_hermitage,1_hermitage_2004,Winter wheat,11371.84635,0,8579.607174,48.30716945
1_hermitage,1_hermitage_2005,Other,6886.507468,0,4663.465367,27.89649701
1_hermitage,1_hermitage_2006,Winter wheat,10264.90887,0,7582.426976,48.30716945
1_hermitage,1_hermitage_2007,Dry Bean,289.7271022,0,241.4199328,48.30716945
1_hermitage,1_hermitage_2008,Winter wheat,11351.43568,0,8579.607174,27.89649701
1_hermitage,1_hermitage_2009,Other,274.9099317,0,247.0134347,27.89649701
1_hermitage,1_hermitage_2010,Winter wheat,10244.4982,0,7582.426976,27.89649701
1_hermitage,1_hermitage_2011,Dry Bean,289.7271022,0,241.4199328,48.30716945
1_hermitage,1_hermitage_2012,Winter wheat,10244.4982,0,7582.426976,27.89649701
1_hermitage,1_hermitage_2013,Grass-clover mix,99.9539328,0,72.05743579,27.89649701
1_hermitage,1_hermitage_2014,Winter wheat,10244.4982,0,7582.426976,27.89649701
1_jollies,1_jollies_2004,Other,1611.063362,0,667.1367856,48.30716945
1_jollies,1_jollies_2005,Winter wheat,1548.83243,0,640.0281832,48.30716945
1_jollies,1_jollies_2006,Dry Bean,137.5127702,0,89.20560075,48.30716945
1_jollies,1_jollies_2007,Winter wheat,1548.83243,0,640.0281832,48.30716945
1_jollies,1_jollies_2008,Barley,1016.302042,0,419.2084714,48.30716945
1_jollies,1_jollies_2009,Other,1510.195205,0,623.3424145,48.30716945
1_jollies,1_jollies_2010,Winter wheat,1541.08942,0,636.6754653,48.30716945
1_jollies,1_jollies_2011,Oats,1067.42059,0,439.5949808,48.30716945
1_jollies,1_jollies_2012,Winter wheat,1650.223344,0,684.3453123,48.30716945
1_jollies,1_jollies_2013,Other,1825.115252,0,762.6508137,48.30716945
1_jollies,1_jollies_2014,Winter wheat,1464.082737,0,603.571694,48.30716945
1_long7acre,1_long7acre_2011,Other,2085.634558,0,1148.18745,15.48595445
1_long7acre,1_long7acre_2012,Winter wheat,2005.464076,0,1083.488956,48.30716945
1_long7acre,1_long7acre_2013,Other,2044.231698,0,1124.345755,15.48595445
1_long7acre,1_long7acre_2014,Winter wheat,2170.730482,0,1178.510702,48.30716945
1_long7acre,1_long7acre_2015,Barley,1912.295221,0,1021.42562,65.49485384
1_mawland.smiths,1_mawland.smiths_2008,Winter wheat,2675.742183,0,1701.396729,8.481388077
1_mawland.smiths,1_mawland.smiths_2009,Other,3181.554301,0,2029.063454,37.3568796
1_mawland.smiths,1_mawland.smiths_2010,Winter wheat,2160.167945,0,1365.824431,8.481388077
1_mawland.smiths,1_mawland.smiths_2011,Dry Bean,394.9158268,0,386.4344387,8.481388077
1_mawland.smiths,1_mawland.smiths_2012,Winter wheat,3242.940627,0,2081.607521,24.2476827
1_mawland.smiths,1_mawland.smiths_2013,Other,2678.20813,0,1692.486672,24.2476827
1_mawland.smiths,1_mawland.smiths_2014,Winter wheat,2547.308639,0,1605.490094,24.2476827
1_newton.grange.23,1_newton.grange.23_2004,Barley,2456.875956,0,1378.746453,33.24019557
1_newton.grange.23,1_newton.grange.23_2005,Other,2618.944605,0,1479.351025,33.24019557
1_newton.grange.23,1_newton.grange.23_2006,Winter wheat,2961.510179,0,1698.988445,33.24019557
1_newton.grange.23,1_newton.grange.23_2007,Winter wheat,2595.43617,0,1464.623173,33.24019557
1_newton.grange.23,1_newton.grange.23_2008,Barley,2311.35714,0,1290.301423,33.24019557
1_newton.grange.23,1_newton.grange.23_2009,Other,2595.43617,0,1464.623173,33.24019557
1_newton.grange.23,1_newton.grange.23_2010,Winter wheat,3223.043238,0,1872.71568,33.24019557
1_newton.grange.23,1_newton.grange.23_2011,Winter wheat,2595.43617,0,1464.623173,33.24019557
1_newton.grange.23,1_newton.grange.23_2012,Barley,2311.35714,0,1290.301423,33.24019557
1_newton.grange.23,1_newton.grange.23_2013,Other,2595.43617,0,1464.623173,33.24019557
1_newton.grange.23,1_newton.grange.23_2014,Winter wheat,3223.043238,0,1872.71568,33.24019557
1_opposite.cottage,1_opposite.cottage_2004,Winter wheat,2890.660316,0,2075.948285,33.24019557
1_opposite.cottage,1_opposite.cottage_2005,Other legume,688.2762595,0,655.0360639,33.24019557
1_opposite.cottage,1_opposite.cottage_2006,Winter wheat,2379.595178,0,1728.352748,14.65020453
1_opposite.cottage,1_opposite.cottage_2007,Other root crops,1165.207292,0,934.4039921,33.24019557
1_opposite.cottage,1_opposite.cottage_2008,Winter wheat,2690.420284,0,1932.782039,33.24019557
1_opposite.cottage,1_opposite.cottage_2009,Other root crops,1377.438404,0,1081.83494,1.453952242
1_opposite.cottage,1_opposite.cottage_2010,Winter wheat,3504.303892,0,2547.348037,8.652954441
1_opposite.cottage,1_opposite.cottage_2011,Other root crops,1132.913514,0,915.2810873,33.24019557
1_opposite.cottage,1_opposite.cottage_2012,Winter wheat,3108.104367,0,2252.12521,8.652954441
1_opposite.cottage,1_opposite.cottage_2013,Other,2331.312238,0,1699.237932,8.652954441
1_opposite.cottage,1_opposite.cottage_2014,Winter wheat,3083.300428,0,2215.904903,33.24019557
1_shooters.bank,1_shooters.bank_2004,Grass-clover mix,132.8601496,0,114.9129267,17.94722298
1_shooters.bank,1_shooters.bank_2005,Other,2351.50239,0,1481.838672,17.94722298
1_shooters.bank,1_shooters.bank_2006,Winter wheat,2277.873195,0,1434.551225,17.94722298
1_shooters.bank,1_shooters.bank_2007,Dry Bean,449.5541404,0,386.4344387,63.11970169
1_shooters.bank,1_shooters.bank_2008,Winter wheat,2671.90767,0,1692.486672,17.94722298
1_shooters.bank,1_shooters.bank_2009,Grass-clover mix,116.3668789,0,114.9129267,1.453952242
1_shooters.bank,1_shooters.bank_2010,Other,2029.232737,0,1278.106882,17.94722298
1_shooters.bank,1_shooters.bank_2011,Winter wheat,2658.646205,0,1683.615498,17.94722298
1_shooters.bank,1_shooters.bank_2012,Winter wheat,3312.3449,0,2135.360798,17.94722298
1_shooters.bank,1_shooters.bank_2013,Grass-clover mix,117.093855,0,114.9129267,2.180928363
1_shooters.bank,1_shooters.bank_2014,Winter wheat,3220.873873,0,2081.607521,2.180928363
1_stokewell.ground,1_stokewell.ground_2004,Winter wheat,2236.668115,0,1205.950473,20.95066425
1_stokewell.ground,1_stokewell.ground_2005,Winter wheat,2551.877897,0,1393.84181,20.95066425
1_stokewell.ground,1_stokewell.ground_2006,Winter wheat,1931.445629,0,1032.436723,20.95066425
1_stokewell.ground,1_stokewell.ground_2007,Winter wheat,2163.675332,0,1163.689728,20.95066425
1_stokewell.ground,1_stokewell.ground_2008,Winter wheat,2445.434634,0,1333.211627,14.65020453
1_stokewell.ground,1_stokewell.ground_2009,Winter wheat,2740.990631,0,1521.921658,2.958308161
1_stokewell.ground,1_stokewell.ground_2010,Winter wheat,2939.068938,0,1636.15324,20.95066425
1_stokewell.ground,1_stokewell.ground_2011,Winter wheat,2659.329604,0,1470.992669,2.958308161
1_stokewell.ground,1_stokewell.ground_2012,Winter wheat,2764.593863,0,1536.744308,2.958308161
1_stokewell.ground,1_stokewell.ground_2013,Spring wheat,1625.693423,0,867.1738358,20.95066425
1_stokewell.ground,1_stokewell.ground_2014,Winter wheat,2184.415157,0,1175.648971,20.95066425
1_threadgold,1_threadgold_2004,Barley,911.5215287,0,397.8434911,48.30716945
1_threadgold,1_threadgold_2005,Other,1534.422551,0,684.4307686,2.66557911
1_threadgold,1_threadgold_2006,Winter wheat,1212.325067,0,523.0353814,48.30716945
1_threadgold,1_threadgold_2007,Barley,918.9253871,0,400.8570583,48.30716945
1_threadgold,1_threadgold_2008,Dry Bean,105.2528386,0,102.2198943,3.032944376
1_threadgold,1_threadgold_2009,Winter wheat,956.0286261,0,416.0088413,48.30716945
1_threadgold,1_threadgold_2010,Winter wheat,1746.35603,0,781.8493105,3.032944376
1_threadgold,1_threadgold_2011,Barley,807.2128573,0,373.9313744,3.032944376
1_threadgold,1_threadgold_2012,Barley,785.1630272,0,365.052418,3.032944376
1_threadgold,1_threadgold_2013,Barley,675.601453,0,321.345212,3.032944376
1_threadgold,1_threadgold_2014,Winter wheat,1313.647963,0,586.2169687,3.032944376
1_wells.rd,1_wells.rd_2005,Winter wheat,2181.533047,0,1373.333406,17.94722298
1_wells.rd,1_wells.rd_2006,Winter wheat,2277.873195,0,1434.551225,17.94722298
1_wells.rd,1_wells.rd_2007,Other,2019.766902,0,1278.106882,8.481388077
1_wells.rd,1_wells.rd_2008,Winter wheat,2292.817172,0,1450.180454,8.481388077
1_wells.rd,1_wells.rd_2009,Dry Bean,394.9158268,0,386.4344387,8.481388077
1_wells.rd,1_wells.rd_2010,Winter wheat,2101.137099,0,1328.745041,8.481388077
1_wells.rd,1_wells.rd_2011,Dry Bean,394.9158268,0,386.4344387,8.481388077
1_wells.rd,1_wells.rd_2012,Winter wheat,2152.229312,0,1350.900085,24.2476827
1_wells.rd,1_wells.rd_2013,Other,2199.764202,0,1380.873811,24.2476827
1_wells.rd,1_wells.rd_2014,Winter wheat,2370.192046,0,1489.837577,24.2476827
2_#2,2_#2_2004,Winter wheat,1579.378037,0,857.714654,63.11970169
2_#2,2_#2_2005,Winter wheat,1305.237667,0,715.2830205,63.11970169
2_#2,2_#2_2006,Grass-clover mix,78.8950835,0,77.44113125,1.453952242
2_#2,2_#2_2007,Other,1579.378037,0,857.714654,63.11970169
2_#2,2_#2_2008,Winter wheat,1305.237667,0,715.2830205,63.11970169
2_#2,2_#2_2009,Winter wheat,1869.426751,0,1016.054632,63.11970169
2_#2,2_#2_2010,Other,1725.638778,0,961.342049,17.94722298
2_#2,2_#2_2011,Winter wheat,1819.866327,0,988.4456642,63.11970169
2_#2,2_#2_2012,Barley,1770.811256,0,961.342049,63.11970169
2_#2,2_#2_2013,Other,1755.011948,0,977.5443454,17.94722298
