Field Name,Field ID,Crop,CO2 Total,CO2 Pest,N Fert,Fuel
1_#3,1_#3_2004,Winter wheat,2094.904219,180.4,1072.844889,7.504
1_#3,1_#3_2005,Other,1776.695555,61.5,961.342049,7.504
1_#3,1_#3_2006,Winter wheat,1659.410335,139.4,857.714654,3.752
1_#3,1_#3_2007,Winter wheat,1429.961981,139.4,738.0235799,3.752
1_#3,1_#3_2008,Barley,1736.208952,287,818.2836003,7.504
1_#3,1_#3_2009,Other,1952.502626,184.5,988.4456642,11.256
1_#3,1_#3_2010,Winter wheat,1492.405696,98.4,789.4220921,7.504
1_#3,1_#3_2011,Barley,1699.522458,80.975,908.5968645,7.504
1_#3,1_#3_2012,Other,2214.035873,312.338,1061.315126,15.008
1_#3,1_#3_2013,Winter wheat,1969.79331,34.891,1084.462398,7.504
1_#3,1_#3_2014,Winter wheat,2256.870949,134.275,1193.130796,7.504
1_24.acre,1_24.acre_2011,Winter wheat,2169.73692,262.4,933.9688543,7.504
1_24.acre,1_24.acre_2012,Winter wheat,2087.73692,180.4,933.9688543,7.504
1_24.acre,1_24.acre_2013,Barley,1260.886966,276.75,493.7009332,7.504
1_24.acre,1_24.acre_2014,Winter wheat,2335.302721,332.1,982.179743,11.256
1_angels.piece,1_angels.piece_2010,Other,1927.225185,167.69,860.1637781,3.752
1_angels.piece,1_angels.piece_2011,Winter wheat,2126.454486,305.86,887.3773319,11.256
1_angels.piece,1_angels.piece_2012,Winter wheat,2095.130486,274.536,887.3773319,11.256
1_angels.piece,1_angels.piece_2013,Dry Bean,475.0541573,303.236,160.5621573,11.256
1_back.of.hovels,1_back.of.hovels_2004,Winter wheat,1798.152358,282.9,673.5930286,7.504
1_back.of.hovels,1_back.of.hovels_2005,Other,1789.608122,112.75,747.3929681,7.504
1_back.of.hovels,1_back.of.hovels_2006,Winter wheat,1634.152358,118.9,673.5930286,7.504
1_back.of.hovels,1_back.of.hovels_2007,Other,1783.458122,106.6,747.3929681,7.504
1_back.of.hovels,1_back.of.hovels_2008,Winter wheat,1556.252358,41,673.5930286,7.504
1_back.of.hovels,1_back.of.hovels_2009,Other,1907.197534,106.6,805.278012,7.504
1_back.of.hovels,1_back.of.hovels_2010,Winter wheat,1777.652358,262.4,673.5930286,7.504
1_back.of.hovels,1_back.of.hovels_2011,Other,2028.762122,344.4,747.3929681,15.008
1_back.of.hovels,1_back.of.hovels_2012,Winter wheat,1646.452358,131.2,673.5930286,7.504
1_back.of.hovels,1_back.of.hovels_2013,Other,2038.815009,192.7,825.0920312,11.256
1_back.of.hovels,1_back.of.hovels_2014,Winter wheat,2120.170039,513.32,710.0317968,18.76
1_barn.ground,1_barn.ground_2004,Winter wheat,1991.946721,0,982.179743,0
1_barn.ground,1_barn.ground_2005,Other,1809.338486,0,887.3773319,0
1_barn.ground,1_barn.ground_2006,Winter wheat,2304.857604,164,1057.732258,7.504
1_barn.ground,1_barn.ground_2007,Other,1099.733391,41,528.1464458,3.752
1_barn.ground,1_barn.ground_2008,Winter wheat,2344.375995,110.7,1110.399737,3.752
1_barn.ground,1_barn.ground_2009,Other,1867.629495,143.5,842.3192536,3.752
1_barn.ground,1_barn.ground_2010,Winter wheat,2214.657604,73.8,1057.732258,7.504
1_barn.ground,1_barn.ground_2011,Other,1099.733391,41,528.1464458,3.752
1_barn.ground,1_barn.ground_2012,Winter wheat,2422.747995,185.32,1110.399737,7.504
1_barn.ground,1_barn.ground_2013,Other,2013.294486,192.7,887.3773319,11.256
1_barn.ground,1_barn.ground_2014,Winter wheat,2374.224454,185.32,1083.827652,7.504
1_bridge_leggott,1_bridge_leggott_2004,Other root crops,857.9475698,282.9,392.5702126,11.256
1_bridge_leggott,1_bridge_leggott_2005,Winter wheat,1854.439624,100.04,982.9849533,7.504
1_bridge_leggott,1_bridge_leggott_2006,Winter wheat,1924.968725,180.4,977.5443454,7.504
1_bridge_leggott,1_bridge_leggott_2007,Grass-clover mix,327.1931313,246,77.44113125,3.752
1_bridge_leggott,1_bridge_leggott_2008,Winter wheat,1609.140462,196.8,798.9762754,7.504
1_bridge_leggott,1_bridge_leggott_2009,Other legume,341.5954773,82,255.8434773,3.752
1_bridge_leggott,1_bridge_leggott_2010,Winter wheat,1279.738402,65.6,697.3606217,7.504
1_bridge_leggott,1_bridge_leggott_2011,Winter wheat,1842.968725,98.4,977.5443454,7.504
1_bridge_leggott,1_bridge_leggott_2012,Other root crops,745.5455698,174.25,392.5702126,7.504
1_bridge_leggott,1_bridge_leggott_2013,Winter wheat,1810.673352,20.5,1004.949517,3.752
1_bridge_leggott,1_bridge_leggott_2014,Winter wheat,2196.395949,73.8,1193.130796,7.504
1_capps,1_capps_2010,Winter wheat,1694.016978,31.365,825.3829391,7.504
1_capps,1_capps_2011,Winter wheat,1282.511449,16.4,634.5478065,3.752
1_capps,1_capps_2012,Barley,1409.89106,173.02,619.1165822,7.504
1_capps,1_capps_2013,Other,1017.111683,164,446.0911831,7.504
1_capps,1_capps_2014,Winter wheat,1559.389202,168.92,689.9374824,11.256
1_chivers.top.left,1_chivers.top.left_2005,Other root crops,1173.618535,143.5,522.7596284,11.256
1_chivers.top.left,1_chivers.top.left_2006,Winter wheat,1181.488665,118.9,540.7823026,3.752
1_chivers.top.left,1_chivers.top.left_2007,Other,1926.66188,233.7,838.7699675,11.256
1_chivers.top.left,1_chivers.top.left_2008,Winter wheat,1898.729233,123.82,884.3184084,3.752
1_chivers.top.left,1_chivers.top.left_2009,Winter wheat,1893.809233,118.9,884.3184084,3.752
1_chivers.top.left,1_chivers.top.left_2010,Other,1902.186332,82,907.6440519,3.752
1_chivers.top.left,1_chivers.top.left_2011,Winter wheat,1804.758836,307.5,743.4053308,7.504
1_chivers.top.left,1_chivers.top.left_2012,Winter wheat,1699.899978,41,825.3829391,3.752
1_chivers.top.left,1_chivers.top.left_2013,Other,2036.613233,254.2,884.3184084,11.256
1_corner13acre,1_corner13acre_2006,Winter wheat,1868.043271,41,1160.995589,7.504
1_corner13acre,1_corner13acre_2007,Other,2021.202069,86.1,1228.903475,3.752
1_corner13acre,1_corner13acre_2008,Winter wheat,2037.254069,98.4,1228.903475,7.504
1_corner13acre,1_corner13acre_2009,Other,1950.603879,71.75,1194.606741,3.752
1_corner13acre,1_corner13acre_2010,Winter wheat,1959.702069,24.6,1228.903475,3.752
1_corner13acre,1_corner13acre_2011,Dry Bean,390.1864387,0,386.4344387,3.752
1_corner13acre,1_corner13acre_2012,Winter wheat,2070.231563,20.5,1299.630058,3.752
1_corner13acre,1_corner13acre_2013,Other,2476.191824,301.35,1373.333406,11.256
1_corner13acre,1_corner13acre_2014,Winter wheat,2414.839783,123,1450.180454,7.504
1_eds,1_eds_2010,Winter wheat,2387.354972,119.925,1434.551225,7.504
1_eds,1_eds_2011,Winter wheat,2403.959972,136.53,1434.551225,7.504
1_eds,1_eds_2012,Other,2544.711737,125.05,1530.347496,11.256
1_eds,1_eds_2013,Barley,1540.971295,0,996.575185,0
1_eds,1_eds_2014,Winter wheat,2467.038363,117.342,1489.837577,3.752
1_fence.field,1_fence.field_2004,Grass-clover mix,32.0414382,0,32.0414382,0
1_fence.field,1_fence.field_2005,Grass-clover mix,32.0414382,0,32.0414382,0
1_fence.field,1_fence.field_2006,Grass-clover mix,32.0414382,0,32.0414382,0
1_fence.field,1_fence.field_2007,Grass-clover mix,32.0414382,0,32.0414382,0
1_fence.field,1_fence.field_2008,Grass-clover mix,32.0414382,0,32.0414382,0
1_fence.field,1_fence.field_2009,Winter wheat,1776.342039,184.5,710.0317968,3.752
1_fence.field,1_fence.field_2010,Winter wheat,1614.000358,102.5,673.5930286,3.752
1_fence.field,1_fence.field_2011,Winter wheat,1527.900358,16.4,673.5930286,3.752
1_fence.field,1_fence.field_2012,Winter wheat,1816.258122,139.4,747.3929681,7.504
1_fence.field,1_fence.field_2013,Winter wheat,1572.059018,20.5,691.7002319,3.752
1_fence.field,1_fence.field_2014,Winter wheat,1689.506122,16.4,747.3929681,3.752
1_field3,1_field3_2010,Dry Bean,2140.433043,340.3,871.3061804,11.256
1_field3,1_field3_2011,Winter wheat,2048.184557,164.41,919.8253644,11.256
1_field3,1_field3_2012,Winter wheat,2312.54092,397.7,933.9688543,15.008
1_field3,1_field3_2013,Other,1919.88028,120.95,878.2457084,7.504
1_field3,1_field3_2014,Winter wheat,2164.437015,318.365,896.5702786,18.76
1_front.field,1_front.field_2004,Other,2139.021976,184.5,1077.740316,7.504
1_front.field,1_front.field_2005,Winter wheat,1708.081737,123.82,874.3111439,7.504
1_front.field,1_front.field_2006,Dry Bean,327.1719328,82,241.4199328,3.752
1_front.field,1_front.field_2007,Winter wheat,1874.01221,98.4,977.8557925,7.504
1_front.field,1_front.field_2008,Winter wheat,2114.221609,139.4,1089.259367,7.504
1_front.field,1_front.field_2009,Winter wheat,2017.680231,143.5,1032.520901,7.504
1_front.field,1_front.field_2010,Winter wheat,1822.50746,143.5,925.1539541,7.504
1_front.field,1_front.field_2011,Winter wheat,1816.61221,41,977.8557925,7.504
1_front.field,1_front.field_2012,Winter wheat,2241.652604,164,1148.18745,7.504
1_front.field,1_front.field_2013,Other,1980.780231,106.6,1032.520901,7.504
1_front.field,1_front.field_2014,Winter wheat,2155.221609,180.4,1089.259367,7.504
1_garden,1_garden_2004,Winter wheat,2433.325609,451,1089.259367,15.008
1_garden,1_garden_2005,Dry Bean,371.9239328,123,241.4199328,7.504
1_garden,1_garden_2006,Winter wheat,1956.01221,180.4,977.8557925,7.504
1_glebe.30,1_glebe.30_2004,Winter wheat,1874.222139,32.8,871.8060735,3.752
1_glebe.30,1_glebe.30_2005,Other root crops,1207.026642,174.25,490.9336968,15.008
1_glebe.30,1_glebe.30_2006,Winter wheat,2136.274139,291.1,871.8060735,7.504
1_glebe.30,1_glebe.30_2007,Winter wheat,1894.374139,49.2,871.8060735,7.504
1_glebe.30,1_glebe.30_2008,Other root crops,1139.724642,110.7,490.9336968,11.256
1_glebe.30,1_glebe.30_2009,Barley,1599.770161,95.12,706.893743,7.504
1_glebe.30,1_glebe.30_2010,Winter wheat,1911.451139,62.525,871.8060735,11.256
1_glebe.30,1_glebe.30_2011,Other root crops,1442.776642,410,490.9336968,15.008
1_glebe.30,1_glebe.30_2012,Barley,1600.385161,95.735,706.893743,7.504
1_glebe.30,1_glebe.30_2013,Other,1766.008745,174.25,746.3474151,11.256
1_glebe.30,1_glebe.30_2014,Winter wheat,2009.851139,160.925,871.8060735,11.256
1_gym,1_gym_2006,Barley,1466.137232,225.5,552.6380951,7.504
1_gym,1_gym_2007,Other,1576.107049,164,627.5215047,7.504
1_gym,1_gym_2008,Winter wheat,1699.198433,172.2,677.1968122,11.256
1_gym,1_gym_2009,Grass-clover mix,158.4454382,118.9,32.0414382,7.504
1_gym,1_gym_2010,Winter wheat,1858.048959,282.9,699.0055913,11.256
1_gym,1_gym_2011,Other,1642.015056,241.9,620.5580943,11.256
1_gym,1_gym_2012,Winter wheat,2402.565797,229.6,985.1117531,11.256
1_gym,1_gym_2013,Dry Bean,605.4758943,492,102.2198943,11.256
1_gym,1_gym_2014,Winter wheat,2351.158834,222.22,963.0362463,11.256
1_hermitage,1_hermitage_2004,Winter wheat,11566.44518,231.65,8579.607174,11.256
1_hermitage,1_hermitage_2005,Other,7060.864971,194.75,4663.465367,7.504
1_hermitage,1_hermitage_2006,Winter wheat,10404.5057,180.4,7582.426976,7.504
1_hermitage,1_hermitage_2007,Dry Bean,371.9239328,123,241.4199328,7.504
1_hermitage,1_hermitage_2008,Winter wheat,11454.04318,123,8579.607174,7.504
